RespId,weight,age,Education,race,gender,income_cat,voter_category,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10
470001,0.7516,73,College,White,Female,$75-125k,always,1,1,1,2,4,1,4,2,2,4,2,1,1,4,4,3,2,2,1,2,2,2,2,1,2,1,3,4,2,1,1,1,1,2,4,2,2,4,4,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470002,1.0267,90,College,White,Female,$125k or more,always,1,1,2,2,3,1,1,2,1,1,3,3,3,4,3,3,2,2,2,2,3,3,1,1,2,2,2,3,2,2,2,2,3,2,2,1,1,3,4,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,NA,1,3,3,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470003,1.0844,53,College,White,Male,$125k or more,sporadic,1,1,1,2,2,1,1,2,1,4,3,2,2,3,3,2,2,2,2,3,3,2,3,1,1,1,3,2,1,1,2,2,2,2,1,1,2,4,4,2,2,1,2,2,2,1,2,1,2,5,2,1,1,3,1,1,2,2,2,2,2,2,1,2,2,2,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,NA,2,1,2,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470007,0.6817,58,Some college,Black,Female,$40-75k,sporadic,1,1,1,1,3,1,1,1,1,1,2,1,1,4,4,2,1,1,2,2,2,2,2,1,3,1,3,2,2,2,2,2,2,2,2,1,2,4,4,2,2,2,2,1,2,2,2,1,2,5,1,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,NA,2,1,2,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480008,0.991,81,High school or less,White,Male,$40-75k,always,1,1,1,-1,1,1,1,1,1,1,1,4,-1,1,1,2,4,1,1,1,1,1,1,1,2,2,1,3,2,3,3,3,4,2,2,1,4,3,4,2,2,2,2,2,2,1,2,2,2,1,5,1,2,2,4,4,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,NA,1,3,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480009,1.0591,61,High school or less,White,Female,$40-75k,rarely/never,1,3,2,3,4,1,3,3,1,1,4,1,2,-1,2,2,2,4,3,3,3,4,2,2,4,1,3,3,3,2,3,3,2,2,2,-1,-1,-1,4,2,2,2,2,2,2,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,7,-1,4,3,4,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
480010,1.1512,80,High school or less,White,Female,$125k or more,always,1,1,1,2,3,1,1,1,1,1,3,2,3,3,2,2,2,2,1,1,2,1,1,1,1,1,2,-1,2,1,1,1,2,1,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,1,3,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470008,1.0174,68,Some college,Other/Mixed,Female,$75-125k,always,1,1,1,2,2,1,3,1,1,4,2,2,3,3,1,1,2,1,1,2,2,2,3,1,1,1,4,4,1,1,2,2,4,1,1,1,2,3,4,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,NA,2,1,2,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470010,0.8184,70,College,White,Male,$125k or more,always,1,1,1,1,3,1,1,1,1,3,2,1,4,2,1,2,1,2,2,2,4,3,3,1,3,1,3,4,3,2,2,2,4,2,2,1,4,4,4,2,1,1,2,2,2,2,2,2,2,2,4,1,2,1,2,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,-1,1,1,NA,1,3,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470011,1.1653,83,Some college,White,Male,$125k or more,always,1,1,1,2,1,1,1,1,2,1,2,3,3,3,2,3,2,2,3,3,3,2,3,1,3,1,2,3,2,2,2,2,2,1,2,2,2,3,3,2,1,2,2,2,2,1,2,2,2,1,5,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,2,NA,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
